Symbol,Sector
360ONE,Financial Services
3MINDIA,Industrials
ABB,Industrials
ACC,Basic Materials
ACMESOLAR,Utilities
AIAENG,Industrials
APLAPOLLO,Basic Materials
AUBANK,Financial Services
AWL,Consumer Defensive
AADHARHFC,Unknown
AARTIIND,Basic Materials
AAVAS,Financial Services
ABBOTINDIA,Healthcare
ACE,Industrials
ADANIENSOL,Utilities
ADANIENT,Energy
ADANIGREEN,Utilities
ADANIPORTS,Industrials
ADANIPOWER,Utilities
ATGL,Utilities
ABCAPITAL,Financial Services
ABFRL,Consumer Cyclical
ABLBL,Consumer Cyclical
ABREL,Real Estate
ABSLAMC,Financial Services
AEGISLOG,Energy
AEGISVOPAK,Energy
AFCONS,Industrials
AFFLE,Communication Services
AJANTPHARM,Healthcare
AKUMS,Healthcare
AKZOINDIA,Basic Materials
APLLTD,Healthcare
ALKEM,Healthcare
ALKYLAMINE,Basic Materials
ALOKINDS,Consumer Cyclical
ARE&M,Industrials
AMBER,Consumer Cyclical
AMBUJACEM,Basic Materials
ANANDRATHI,Financial Services
ANANTRAJ,Real Estate
ANGELONE,Financial Services
APARINDS,Industrials
APOLLOHOSP,Healthcare
APOLLOTYRE,Consumer Cyclical
APTUS,Financial Services
ASAHIINDIA,Consumer Cyclical
ASHOKLEY,Industrials
ASIANPAINT,Basic Materials
ASTERDM,Healthcare
ASTRAZEN,Healthcare
ASTRAL,Industrials
ATHERENERG,Consumer Cyclical
ATUL,Basic Materials
AUROPHARMA,Healthcare
AIIL,Financial Services
DMART,Consumer Defensive
AXISBANK,Financial Services
BASF,Basic Materials
BEML,Industrials
BLS,Industrials
BSE,Financial Services
BAJAJ-AUTO,Consumer Cyclical
BAJFINANCE,Financial Services
BAJAJFINSV,Financial Services
BAJAJHLDNG,Financial Services
BAJAJHFL,Financial Services
BALKRISIND,Consumer Cyclical
BALRAMCHIN,Consumer Defensive
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
MAHABANK,Financial Services
BATAINDIA,Consumer Cyclical
BAYERCROP,Basic Materials
BERGEPAINT,Basic Materials
BDL,Industrials
BEL,Industrials
BHARATFORG,Consumer Cyclical
BHEL,Industrials
BPCL,Energy
BHARTIARTL,Communication Services
BHARTIHEXA,Communication Services
BIKAJI,Consumer Defensive
BIOCON,Healthcare
BSOFT,Technology
BLUEDART,Industrials
BLUEJET,Healthcare
BLUESTARCO,Industrials
BBTC,Consumer Defensive
BOSCHLTD,Consumer Cyclical
FIRSTCRY,Consumer Cyclical
BRIGADE,Real Estate
BRITANNIA,Consumer Defensive
MAPMYINDIA,Technology
CCL,Consumer Defensive
CESC,Utilities
CGPOWER,Industrials
CRISIL,Financial Services
CAMPUS,Consumer Cyclical
CANFINHOME,Financial Services
CANBK,Financial Services
CAPLIPOINT,Healthcare
CGCL,Financial Services
CARBORUNIV,Industrials
CASTROLIND,Energy
CEATLTD,Consumer Cyclical
CENTRALBK,Financial Services
CDSL,Financial Services
CENTURYPLY,Basic Materials
CERA,Industrials
CHALET,Consumer Cyclical
CHAMBLFERT,Basic Materials
CHENNPETRO,Energy
CHOICEIN,Financial Services
CHOLAHLDNG,Financial Services
CHOLAFIN,Financial Services
CIPLA,Healthcare
CUB,Financial Services
CLEAN,Basic Materials
COALINDIA,Energy
COCHINSHIP,Industrials
COFORGE,Technology
COHANCE,Healthcare
COLPAL,Consumer Defensive
CAMS,Technology
CONCORDBIO,Healthcare
CONCOR,Industrials
COROMANDEL,Basic Materials
CRAFTSMAN,Consumer Cyclical
CREDITACC,Financial Services
CROMPTON,Consumer Cyclical
CUMMINSIND,Industrials
CYIENT,Industrials
DCMSHRIRAM,Industrials
